word,translation,image
daina,lied,resources/images/room1.jpg
kede,stoel,resources/images/room1.jpg
langas,raam,resources/images/room1.jpg
nafta,olie,resources/images/room1.jpg
pupa,boon,resources/images/room1.jpg
sausainis,koekje,resources/images/room1.jpg
tvartas,schuur,resources/images/room2.jpg
ziedas,ring,resources/images/room2.jpg
augalas,plant,resources/images/room2.jpg
duona,brood,resources/images/room2.jpg
krautuve,winkel,resources/images/room2.jpg
miestas,stad,resources/images/room2.jpg
palepstis,bezem,resources/images/room3.jpg
pyragas,taart,resources/images/room3.jpg
sokis,dans,resources/images/room3.jpg
upe,rivier,resources/images/room3.jpg
akis,oog,resources/images/room3.jpg
gele,bloem,resources/images/room3.jpg
kreida,krijt,resources/images/room4.jpg
menulis,maan,resources/images/room4.jpg
pastatas,gebouw,resources/images/room4.jpg
pinigine,portemonnee,resources/images/room4.jpg
smegenys,brein,resources/images/room4.jpg
urvas,grot,resources/images/room4.jpg
arbata,thee,resources/images/room5.jpg
durys,deur,resources/images/room5.jpg
kardas,zwaard,resources/images/room5.jpg
mesa,vlees,resources/images/room5.jpg
palaidine,shirt,resources/images/room5.jpg
raktas,sleutel,resources/images/room5.jpg
stalas,tafel,resources/images/room6.jpg
vanduo,water,resources/images/room6.jpg
adata,naald,resources/images/room6.jpg
kablelis,hak,resources/images/room6.jpg
kunigas,priester,resources/images/room6.jpg
medis,boom,resources/images/room6.jpg
pienas,melk,resources/images/room7.jpg
rusys,kelder,resources/images/room7.jpg
sesuo,zus,resources/images/room7.jpg
vaistas,drug,resources/images/room7.jpg
auksas,goud,resources/images/room7.jpg
kumpis,ham,resources/images/room7.jpg
laidas,draad,resources/images/room8.jpg
obuolys,appel,resources/images/room8.jpg
riteris,ridder,resources/images/room8.jpg
sakute,vork,resources/images/room8.jpg
tiltas,brug,resources/images/room8.jpg
zirkles,schaar,resources/images/room8.jpg
batas,schoen,resources/images/room9.jpg
karalius,koning,resources/images/room9.jpg
lova,bed,resources/images/room9.jpg
mokykla,school,resources/images/room9.jpg
purvas,vuil,resources/images/room9.jpg
sketis,paraplu,resources/images/room9.jpg
tinklas,net,resources/images/room10.jpg
vinis,nagel,resources/images/room10.jpg
bulve,aardappel,resources/images/room10.jpg
knyga,boek,resources/images/room10.jpg
ledas,ijs,resources/images/room10.jpg
mygtukas,button,resources/images/room10.jpg
paukstis,vogel,resources/images/room1.jpg
salmas,helm,resources/images/room1.jpg
turgus,markt,resources/images/room2.jpg
vejas,wind,resources/images/room2.jpg
burna,mond,resources/images/room3.jpg
kraujas,bloed,resources/images/room3.jpg
laiptelis,trap,resources/images/room4.jpg
namas,huis,resources/images/room4.jpg
plyta,steen,resources/images/room5.jpg
stogas,dak,resources/images/room5.jpg
traukinys,trein,resources/images/room6.jpg
zole,gras,resources/images/room6.jpg
bugnas,drum,resources/images/room7.jpg
koja,been,resources/images/room7.jpg
lietus,regen,resources/images/room8.jpg
puodelis,beker,resources/images/room8.jpg
plaukas,haar,resources/images/room9.jpg
smaragdas,smaragd,resources/images/room9.jpg
tvora,hek,resources/images/room10.jpg
zuvis,vis,resources/images/room10.jpg
